question,answer
كيف أتأكد أن السائق يعرف الطريق؟,"جميع سائقينا يستخدمون نظام الملاحة في التطبيق. يمكنك اقتراح طرق بديلة أثناء الرحلة."
I was charged twice for one ride,"This is rare. Share trip ID with support. Refunds processed within 3-5 business days."
هل يمكنني دفع جزء نقدًا وجزء بالبطاقة؟,"لا، يجب اختيار طريقة دفع واحدة فقط لكل رحلة. يمكنك تقسيم المدفوعات في الرحلات الجماعية."
Driver rating system explained,"Rate 1-5 stars post-ride. Low-rated drivers undergo retraining. Your feedback improves service."
كيف ألغي اشتراكي الشهري؟,"اذهب إلى 'الاشتراكات' > 'إدارة' > 'إلغاء'. يستمر حتى نهاية الفترة المدفوعة."
How to book for someone else?,"Enter their location in app. After booking, share ride details via SMS/WhatsApp from app."
أريد إبلاغ عن سائق محترف,"نرحب بملاحظاتك! استخدم 'تقييم السائق' بعد الرحلة أو أرسل تفاصيل إلى support@taxiapp.sa."
Is there a waiting time limit?,"Free waiting: 3 mins. After that, SAR 1/min charged. Drivers may cancel after 7 mins."
لماذا طلب التطبيق صلاحية الموقع دائمًا؟,"لتحسين تتبع الرحلة وتحديد نقاط الالتقاء بدقة. يمكنك ضبطه على 'أثناء الاستخدام'."
How to add company billing?,"Submit company tax certificate to corporate@taxiapp.sa. We'll activate business account within 24h."
ما الفرق بين 'سريع' و'اقتصادي'؟,"'سريع': سيارة فاخرة (تكلفة أعلى). 'اقتصادي': مركبة عادية (الأسعار الأساسية)."
Lost phone after ride ended,"Email support@taxiapp.sa immediately with your account details. We'll contact the driver."
هل تصلون إلى القرى خارج المدن؟,"الخدمات متوفرة ضمن نطاق المدن المذكورة. للوجهات البعيدة، راجع التطبيق لإمكانية التغطية."
Why driver ended ride early?,"Report via app with location proof. We'll investigate and refund excess charges."
كيف أحذف حسابي؟,"'الإعدادات' > 'حذف الحساب' > اتبع التعليمات. ملاحظة: لا يمكن استعادة البيانات لاحقًا."
Can I request same driver?,"Not guaranteed, but favorite drivers may be prioritized if available in your area."
ما هي ساعات الذروة الدقيقة؟,"7-9AM, 4-7PM weekdays; 1-3PM Fridays. تظهر أيقونة الذروة في التطبيق عند التطبيق."
Airport pickup meeting points,"Follow app instructions post-booking. KKIA: Pillars 7-8; Jeddah: North Meeting Hall."
لم أر إيصال الرحلة في بريدي,"تحقق من مجلد البريد العشوائي. إذا لم تجده، أعد إرساله من 'سجل الرحلات' > 'طلب إيصال'."
How long driver keeps lost items?,"Drivers store items for 48h. After that, items moved to city office (accessible for 30 days)."
كيف أرفع حد السحب من بطاقتي؟,"زيادة الحد تتم عبر بنكك. للدفع المتكرر، أضف بطاقة جديدة في 'طرق الدفع'."
Ride prices during Ramadan,"Standard daytime fares apply. +25% surcharge 30 mins before Iftar to 1AM."
هل يمكنني مشاركة التكلفة مع أصدقائي؟,"نعم، استخدم 'تقسيم التكلفة' قبل التأكيد. سيرسل التطبيق طلبات الدفع للمشاركين."
App shows 'No drivers available',"This is temporary. Try again in 5-10 mins or upgrade to premium/SUV for faster service."
ما معنى الرمز E في سعر الرحلة؟,"'E': سعر تقديري (قد يتغير قليلًا حسب حركة المرور). 'قفل السعر': سعر ثابت غير قابل للتغيير."
How to complain about cleanliness?,"Use 'Rate Your Ride' > leave comments. Or report via support chat with photos."
كيف أعرف أن طلبي تأكد؟,"ستتلقى إشعارًا ورسالة SMS برقم السيارة واسم السائق والوقت المتوقع للوصول."
Can I pay with international cards?,"Yes, Visa/Mastercard accepted. 3% processing fee applies for non-Saudi cards."
هل هناك خصومات للطلاب؟,"نعم، قدم صورتك من بطاقة الطالب عبر 'العروض' للحصول على خصم ١٥٪ على الرحلات الأساسية."
Why driver called before arrival?,"Drivers may call to clarify pickup points, especially in restricted areas."
أين مكتب الاستلام في مطار الملك فهد؟,"المكتب موجود في صالة الوصول رقم ٣. تواصل مع السائق عبر التطبيق عند الوصول."
My driver drove recklessly,"Use 'Emergency Help' button during trip or file report immediately after. We take this seriously."
كيف أغير رقم هاتفي المسجل؟,"'الإعدادات' > 'معلومات الحساب' > 'تحديث رقم الهاتف'. ستتلقى رمز تحقق على الرقم الجديد."
Maximum passengers allowed?,"Standard: 4; Family/SUV: 6; Premium: 3. Children count as passengers."
ما هو سعر التوقف الإضافي؟,"الانتظار مجاني أول ٣ دقائق، ثم ١ ريال/دقيقة لكل توقف (بحد أقصى ٥ دقائق)."
How to become a driver partner?,"Apply at careers.taxiapp.sa. Requirements: Saudi ID, valid license, clean record, 23+ years old."
لماذا تم رفض طلب حجزي؟,"قد يحدث بسبب مشاكل في الدفع أو عدم توفر سائقين. حاول مجددًا أو اختر نوع مركبة مختلف."
Receipts for VAT purposes,"All digital receipts include 15% VAT details. Download from 'Trip History' or email archive."
هل يمكن الحجز برقم غير مسجل؟,"لا، يجب استخدام رقم الهاتف المسجل في التطبيق. يمكنك تغيير الرقم في الإعدادات أولاً."
Long waiting at King Abdullah Hospital,"Hospitals may have designated pickup zones. Check in-app instructions or ask security."
كيف أمنع التطبيق من خصم المبلغ تلقائيًا؟,"اختر 'الدفع النقدي' كطريقة دفع افتراضية. ستدفع للسائق مباشرة بعد كل رحلة."
Why can't I book to Bahrain?,"Cross-border services unavailable. We operate only within Saudi Arabian cities."
ما هي مدة فتح باب السيارة؟,"بعد وصول السائق، ينتظر ٥ دقائق قبل تطبيق رسوم الانتظار و٧ دقائق قبل الإلغاء التلقائي."
How to disable ride sharing?,"'Settings' > 'Privacy' > disable 'Share Status'. Your trips won't be visible to contacts."
أين أجد سياسة الخصوصية؟,"في التطبيق: 'الإعدادات' > 'الأسئلة الشائعة' > 'الخصوصية'. أو على الموقع الإلكتروني."
Driver asked for cash despite app payment,"Decline and pay via app. Report immediately—violators face suspension."
كيف أغير الوجهة قبل بدء الرحلة؟,"ألغ الحجز الحالي وأعد الحجز بالوجهة الجديدة. لا توجد رسوم إلغاء قبل وصول السائق."
App not showing Arabic interface?,"1) Update app 2) Go to phone settings > language > set Arabic 3) Reopen app."
هل لديكم خدمة العملاء 24/7؟,"نعم، الدعم متاح 24 ساعة عبر الدردشة في التطبيق أو على الرقم 920000000."
Can I tip the driver?,"Yes, tips can be added post-ride via app (cash tips also accepted). 100% goes to driver."
ما الفرق بين 'الاقتصادية' و'المشتركة'؟,"'الاقتصادية': سيارة خاصة بك. 'المشتركة': مشاركة مع راكب آخر (توفير حتى ٣٠٪)."
How to extend ride time?,"Ask driver to update destination. Additional charges apply based on new route."
لماذا لا يعمل الزر 'تأكيد الحجز'؟,"تأكد من اكتمال جميع الحقول (الموقع، الوجهة، طريقة الدفع). إذا استمرت المشكلة، أعد تشغيل التطبيق."
Ride canceled by driver frequently?,"We penalize such drivers. Please rebook—your next ride is 10% off with code APOLOGY10."
كيف أتحقق من خلفية السائق؟,"جميع السائقين لديهم سجلات جنائية نظيفة وتم التحقق منهم من قبل وزارة الداخلية."
Is there a number for senior citizens?,"Yes, call 920000000 for voice booking assistance. Available 6AM-11PM daily."
ماذا يعني رمز القفل بجوار السعر؟,"يعني أن السعر ثابت ولن يتغير حتى مع تغيير الطريق أو وجود ازدحام."
